file,corpus,views,nface,nblock,narrow,f1_cx,f1_cy,f1_h,f1_x0,f1_x1,f1_y0,f1_y1,f2_cx,f2_cy,f2_h,ff_dx,ff_dy,ff_d,ff_d_over_h,ff_hratio,ff_gap,ff_midx,t_x0,t_x1,t_y0,t_y1,t_w,t_h,t_cx,t_cy,t_cap,t_cap_px,t_lines,t_pitch,t_leftvar,t_left_in,t_right_in,t_top_in,t_bot_in,t_pol,t_on_matte,t_on_face,t_face_gap,t_align_frameL,t_align_frameR,t_align_frameT,t_align_frameB,t_align_face,t_side_vs_f1,a_colour,a_area,a_cx,a_cy,a_ang,a_tipx,a_tipy,a_aim_face,a_aim_err_deg,a_tip_face_d,a_text_gap,a_on_person_px,a_hits_person,a_tip_clearance,a_body_clearance,e_area,e_cx,e_cy,ee_area,matte_cov,free_x,free_y,free_w,free_h,free_area,text_in_free
1200000_yzv_uxBSgu0.jpg,AUDIT,1200000,1,2,1,0.784617793560028,0.316843499077691,0.4348069085015191,0.7039646148681641,0.8652709722518921,0.09944004482693142,0.5342469533284505,,,,,,,,,,,0.03515625,0.46328125,0.07222222222222222,0.1763888888888889,0.428125,0.10416666666666667,0.24921875,0.12430555555555556,0.08194444444444444,59.0,1,,,0.03515625,0.53671875,0.07222222222222222,0.8236111111111111,bright,0.0,0.0,0.24068336486816405,True,False,False,False,,opp,red,0.0037250434027777776,0.3809904554852445,0.32715130833365663,-171.68949801684863,0.3399739583333333,0.3150462962962963,1,171.81976345888518,0.4446449844287271,0.05703125,0.0,False,0.25238857269287107,0.26336240768432617,0.3545681423611111,0.311328125,0.7152777777777778,0.4666666666666667,0.25757161458333333,0.0953,0.0,0.5273,1.0,0.5273,0.957
971000_4kIjd7CLp7c.jpg,AUDIT,971000,3,1,1,0.8020444869995117,0.28703635886863427,0.28441133852358214,0.7378482182820638,0.8662407557169596,0.14483068960684317,0.42924202813042533,0.17284265359242756,0.347364906028465,0.18720406426323785,0.6292018334070841,0.06032854715983073,0.6301162736683806,4.750509428336651,1.5192583539407343,0.5259652296702066,0.4874435702959697,0.01640625,0.72421875,0.05694444444444444,0.12638888888888888,0.7078125,0.06944444444444445,0.3703125,0.09166666666666666,0.05416666666666667,39.0,1,,,0.01640625,0.27578125,0.05694444444444444,0.8736111111111111,bright,0.0,0.0,0.017128110684430726,True,False,True,False,t.x1~f1.L,opp,red,0.004294704861111111,0.264994865699237,0.25644358164422487,161.06834338688103,0.22265625,0.2809027777777778,2,17.956455792433047,0.06228184855792851,0.04609375,0.0,True,0.01171875,0.05390625,0.08487521701388889,0.523828125,0.22569444444444445,0.4097222222222222,0.5168587239583333,0.2117,0.0,0.5258,0.325,0.1709,0.746
591000_amiWU58HFpM.jpg,AUDIT,591000,1,1,1,0.8046112179756164,0.3468330807156033,0.3264773898654514,0.7422149658203125,0.8670074701309204,0.1835943857828776,0.510071775648329,,,,,,,,,,,0.021875,0.63125,0.07777777777777778,0.19444444444444445,0.609375,0.11666666666666667,0.3265625,0.1361111111111111,0.07916666666666666,57.0,1,,,0.021875,0.36875,0.07777777777777778,0.8055555555555556,bright,0.0,0.0,0.1109649658203125,True,False,False,False,t.y1~f1.T,opp,red,0.0033333333333333335,0.2974814582623946,0.4164062991926248,130.75212745336995,0.27265625,0.47003968253968254,1,138.1748809132383,0.5364504568573311,0.0890625,0.0,True,0.026088905334472657,0.06132631301879883,0.22361979166666668,0.290625,0.8076388888888889,0.38472222222222224,0.2920551215277778,0.0,0.0,0.6992,0.5153,0.3603,1.0
552000_SpO2yU2mG78.jpg,AUDIT,552000,1,1,1,0.8070394277572632,0.5747571733262804,0.6990942637125651,0.652068042755127,0.9620108127593994,0.22521004146999782,0.9243043051825629,,,,,,,,,,,0.0234375,0.65234375,0.05277777777777778,0.1638888888888889,0.62890625,0.1111111111111111,0.337890625,0.10833333333333334,0.09583333333333334,69.0,1,,,0.0234375,0.34765625,0.05277777777777778,0.8361111111111111,bright,0.0,0.0,0.03449314832687378,True,False,True,False,t.x1~f1.L,opp,red,0.0043359375,0.23318026684471965,0.3133283615949292,158.60584339886654,0.19140625,0.34384920634920635,1,146.6923462262854,0.629185594863082,0.05546875,0.0,True,0.019992733001708986,0.06478319168090821,0.1071267361111111,0.0640625,0.5819444444444445,0.3628841145833333,0.4369878472222222,0.0,0.0,0.6445,0.3,0.1934,0.992
444000_5VLPFCTlyss.jpg,AUDIT,444000,3,1,1,0.22870583534240724,0.3208450529310438,0.2854454040527344,0.16027746200561524,0.2971342086791992,0.17812235090467665,0.46356775495741104,0.8478202760219574,0.5034139421251085,0.15445406878436052,0.6191144406795501,0.18256888919406467,0.6275738631573258,5.072462854477713,1.8480924866489343,0.519096310933431,0.5382630556821824,0.3703125,0.9640625,0.058333333333333334,0.16666666666666666,0.59375,0.10833333333333334,0.6671875,0.1125,0.08194444444444444,59.0,1,,,0.3703125,0.0359375,0.058333333333333334,0.8333333333333334,bright,0.0,0.0,0.0734614536171657,False,True,True,False,t.y1~f1.T,opp,red,0.004226345486111111,0.5643583664196188,0.4564435448392591,39.21274926080349,0.5994791666666667,0.5060185185185185,3,13.423859355021563,0.07438499949566332,0.12578125,0.0,True,0.02497093230485916,0.06858651638031006,0.13406684027777777,0.69453125,0.2763888888888889,0.3236111111111111,0.36046983506944447,0.3891,0.0,0.6109,0.3861,0.2359,1.0
439000_lzOg8heXmV0.jpg,AUDIT,439000,1,1,0,0.7647079169750214,0.42519700792100695,0.4093524085150825,0.685991907119751,0.8434239268302918,0.22052080366346571,0.6298732121785482,,,,,,,,,,,0.04765625,0.625,0.1986111111111111,0.6291666666666667,0.57734375,0.4305555555555556,0.336328125,0.41388888888888886,0.10277777777777777,74.0,3,1.4594594594594594,0.0019136638615493578,0.04765625,0.375,0.1986111111111111,0.37083333333333335,bright,0.0,0.0,0.06099190711975098,True,False,False,False,t.y1~f1.B,opp,,,,,,,,,,,,,,,,0.14659505208333334,0.19765625,0.8145833333333333,0.37083333333333335,0.29721788194444443,0.0,0.0,0.3953,1.0,0.3953,0.621
414000_Ek3Ah3NZYVo.jpg,AUDIT,414000,1,1,0,0.75606090426445,0.2473468780517578,0.3401865641276042,0.6786401271820068,0.8334816813468933,0.07725359598795573,0.4174401601155599,,,,,,,,,,,0.04453125,0.58046875,0.19583333333333333,0.7916666666666666,0.5359375,0.5958333333333333,0.3125,0.49375,0.10972222222222222,79.0,4,1.4556962025316456,0.002139541240254555,0.04453125,0.41953125,0.19583333333333333,0.20833333333333334,bright,0.0,0.0,0.09817137718200683,True,False,False,False,,opp,,,,,,,,,,,,,,,,0.13019856770833332,0.332421875,0.09791666666666667,0.3130859375,0.31318467881944445,0.0,0.0,0.4992,1.0,0.4992,1.0
412000_IPpy830CJkQ.jpg,AUDIT,412000,2,1,1,0.2267981131871541,0.405548060381854,0.18554313094527636,0.1949032147725423,0.25869301160176594,0.31277649490921583,0.4983196258544922,0.7828058421611785,0.5148263772328695,0.12057207955254448,0.5560077289740245,0.10927831685101547,0.5593952441554044,6.497425805380761,1.5388565216246264,0.498108450571696,0.5048019776741663,0.346875,0.93671875,0.05277777777777778,0.18194444444444444,0.58984375,0.12916666666666668,0.641796875,0.11736111111111111,0.07916666666666666,57.0,1,,,0.346875,0.06328125,0.05277777777777778,0.8180555555555555,bright,0.0,0.0,0.1148564186493413,False,False,True,False,,opp,red,0.003363715277777778,0.7250976727040521,0.39561273362650085,40.75980531226644,0.755625,0.4411111111111111,2,15.994733429889692,0.049579541184579905,0.08671875,0.0,True,0.007966327667236327,0.04561774432659149,0.25436414930555556,0.44296875,0.5909722222222222,0.3008810763888889,0.1835666232638889,0.2875,0.0,0.4688,1.0,0.4688,0.691
364000_AAVDROvkXsU.jpg,AUDIT,364000,2,1,1,0.7777339398860932,0.47682312859429254,0.4096589830186632,0.6930735111236572,0.862394368648529,0.27199363708496094,0.6816526201036242,0.19300140539805094,0.4836638909799081,0.2310818283646195,0.5847325344880422,0.006840762385615543,0.5847451953160298,3.2448284717525846,1.7727875269026794,0.4526560465494791,0.48536767264207203,0.028125,0.865625,0.044444444444444446,0.1111111111111111,0.8375,0.06666666666666667,0.446875,0.07777777777777778,0.06180555555555556,44.5,1,,,0.028125,0.134375,0.044444444444444446,0.8888888888888888,bright,0.0,0.0,0.09049642086029053,True,False,True,False,t.x1~f1.R,opp,red,0.0037630208333333335,0.2953139487168961,0.3064922011169774,146.59161314769625,0.2603298611111111,0.3470679012345679,2,15.364486222526295,0.10216053888296972,0.07734375,0.0,True,0.021689683198928833,0.06225897073745727,0.19633246527777778,0.50625,0.3993055555555556,0.21805555555555556,0.4261447482638889,0.2523,0.0,0.4242,0.6486,0.2752,0.514
301000_qyETv1lTSuA.jpg,AUDIT,301000,2,1,0,0.7953839500745137,0.28619713253445095,0.20072056805645977,0.7498783111572266,0.8408895889918009,0.18583684850622106,0.38655741656268083,0.8751259624958039,0.5948113865322537,0.20036063724093967,0.07974201242129011,0.30861425399780273,0.1910345318806459,1.6935071555585293,1.0017964148072023,0.0,0.8352549562851588,0.03046875,0.7109375,0.13333333333333333,0.2263888888888889,0.68046875,0.09305555555555556,0.370703125,0.1798611111111111,0.06805555555555555,49.0,1,,,0.03046875,0.2890625,0.13333333333333333,0.7736111111111111,bright,0.0,0.0,0.038940811157226564,True,False,False,False,,opp,,,,,,,,,,,,,,,,0.30279622395833333,0.195703125,0.6131944444444445,0.41944227430555553,0.23074978298611112,0.0,0.0,0.3914,1.0,0.3914,0.505
