key              corpus     median      q25      q75      min      max     CV
t_x0             ALL        0.0234   0.0133   0.2687   0.0023   0.4906   1.30  n=37
t_x0             AUDIT      0.0328   0.0230   0.1020   0.0094   0.3703   1.28  n=12
t_x0             CT         0.0172   0.0109   0.2891   0.0023   0.4906   1.30  n=25
t_x0             CT_TOP     0.0148   0.0102   0.2918   0.0023   0.4906   1.34  n=15
t_x0             CT_BOT     0.0406   0.0148   0.2207   0.0023   0.4102   1.22  n=10

t_x1             ALL        0.7273   0.6312   0.8773   0.2086   0.9930   0.23  n=37
t_x1             AUDIT      0.6816   0.6139   0.8834   0.4633   0.9656   0.24  n=12
t_x1             CT         0.8016   0.6492   0.8773   0.2086   0.9930   0.23  n=25
t_x1             CT_TOP     0.8078   0.6883   0.8812   0.2086   0.9930   0.25  n=15
t_x1             CT_BOT     0.6910   0.6371   0.8098   0.4773   0.9086   0.19  n=10

t_y0             ALL        0.1958   0.0528   0.6278   0.0000   0.7944   0.93  n=37
t_y0             AUDIT      0.0639   0.0528   0.0917   0.0264   0.1986   0.64  n=12
t_y0             CT         0.4917   0.0375   0.6681   0.0000   0.7944   0.70  n=25
t_y0             CT_TOP     0.4917   0.1757   0.6375   0.0000   0.7444   0.62  n=15
t_y0             CT_BOT     0.4396   0.0441   0.6872   0.0167   0.7944   0.81  n=10

t_y1             ALL        0.6069   0.1944   0.9556   0.1028   0.9972   0.59  n=37
t_y1             AUDIT      0.1757   0.1545   0.2024   0.1028   0.7917   0.83  n=12
t_y1             CT         0.9472   0.5542   0.9611   0.1167   0.9972   0.37  n=25
t_y1             CT_TOP     0.9472   0.5882   0.9743   0.3014   0.9972   0.31  n=15
t_y1             CT_BOT     0.9500   0.4760   0.9566   0.1167   0.9806   0.46  n=10

t_w              ALL        0.6117   0.4625   0.7977   0.1914   0.9820   0.34  n=37
t_w              AUDIT      0.6016   0.5670   0.6855   0.4281   0.8375   0.17  n=12
t_w              CT         0.7125   0.3531   0.8141   0.1914   0.9820   0.39  n=25
t_w              CT_TOP     0.7828   0.3414   0.8555   0.1914   0.9820   0.41  n=15
t_w              CT_BOT     0.5836   0.4355   0.7838   0.2766   0.8906   0.35  n=10

t_h              ALL        0.2667   0.1167   0.3694   0.0667   0.7042   0.62  n=37
t_h              AUDIT      0.1069   0.0889   0.1198   0.0667   0.5958   0.95  n=12
t_h              CT         0.3014   0.2319   0.4278   0.1000   0.7042   0.45  n=25
t_h              CT_TOP     0.3042   0.2639   0.4556   0.1639   0.6819   0.40  n=15
t_h              CT_BOT     0.2681   0.1976   0.3622   0.1000   0.7042   0.54  n=10

t_cap            ALL        0.1028   0.0819   0.1444   0.0542   0.2792   0.42  n=37
t_cap            AUDIT      0.0806   0.0665   0.0854   0.0542   0.1097   0.21  n=12
t_cap            CT         0.1278   0.0917   0.1465   0.0715   0.2792   0.37  n=25
t_cap            CT_TOP     0.1458   0.1149   0.1736   0.0778   0.2792   0.36  n=15
t_cap            CT_BOT     0.1017   0.0865   0.1289   0.0715   0.1444   0.23  n=10

t_cap_px         ALL       74.0000  59.0000 104.0000  39.0000 201.0000   0.42  n=37
t_cap_px         AUDIT     58.0000  47.8750  61.5000  39.0000  79.0000   0.21  n=12
t_cap_px         CT        92.0000  66.0000 105.5000  51.5000 201.0000   0.37  n=25
t_cap_px         CT_TOP   105.0000  82.7500 125.0000  56.0000 201.0000   0.36  n=15
t_cap_px         CT_BOT    73.2500  62.2500  92.8125  51.5000 104.0000   0.23  n=10

t_cx             ALL        0.4379   0.3379   0.4879   0.1129   0.7125   0.30  n=37
t_cx             AUDIT      0.3541   0.3230   0.4890   0.2449   0.6672   0.35  n=12
t_cx             CT         0.4535   0.4039   0.4879   0.1129   0.7125   0.27  n=25
t_cx             CT_TOP     0.4535   0.4078   0.4938   0.1129   0.7125   0.28  n=15
t_cx             CT_BOT     0.4506   0.3415   0.4832   0.2461   0.5484   0.23  n=10

t_cy             ALL        0.4139   0.1243   0.7979   0.0646   0.8875   0.68  n=37
t_cy             AUDIT      0.1198   0.1042   0.1470   0.0646   0.4938   0.77  n=12
t_cy             CT         0.6875   0.2910   0.8139   0.0667   0.8875   0.47  n=25
